date,open,high,low,close,volume
2000-01-03,49.6667,50,41.6667,44.3333,334455
2000-01-10,45,51.6333,42.5333,51.6333,395244
2000-01-17,51.6667,52.6667,45,45,257814
2000-01-24,45,49.6667,44.3333,47.7667,257226
2000-01-31,49.2667,49.7667,44.9667,45.1667,200289
2000-02-07,45.3333,50,45.3333,50,306366
2000-02-14,50,50.6667,46.0667,46.3333,303954
2000-02-21,46.5,49.3333,40,42.1667,295791
2000-02-28,44.8333,48.2667,41.7333,41.7333,292440
2000-03-06,43.8,48.4,42.3,48.4,323373
2000-03-13,48.3333,49.8333,42.7,49.5,216651
2000-03-20,45.1667,49.5,45.1667,48.3333,922881
2000-03-27,48.3333,49,44.3333,48.3333,194535
2000-04-03,47,48.5,43.3667,46.1667,296073
2000-04-10,46.5,48.3333,46,47.4,277461
2000-04-17,46.6667,49.9,46.1667,47.9,413394
2000-04-24,48.3333,54.3333,47.7333,52,418782
2000-05-01,53,53.1667,50.0333,51.6333,130344
2000-05-08,51.6667,54,50.4,51.8333,285531
2000-05-15,52.3333,52.6,47.8333,48.3333,278937
2000-05-22,48.7667,51,46.1667,50.8333,221991
2000-05-29,50.8333,51.9333,47.1667,48.3,359334
2000-06-05,48.3333,49.3667,47.3333,49.3333,178218
2000-06-12,49.3333,49.6667,47.0333,48.8333,124941
2000-06-19,47.7,52,47.6667,49,141075
2000-06-26,49,50,45.3667,47.1667,157950
2000-07-03,47.1667,51.3333,46.6667,49.9667,197010
2000-07-10,49.1667,50.0333,45.7,47.2,125250
2000-07-17,47.1667,49.3333,46,46.4333,215838
2000-07-24,46.2333,49.2,46.1667,48.9333,253500
2000-07-31,48.6667,48.9,47.0333,47.5,197298
2000-08-07,48,48,45.2333,46.6667,557571
2000-08-14,47.3,49.2333,47.1667,48.5,260748
2000-08-21,48.8333,49,46.8667,48,576546
2000-08-28,48,54,47.6667,53,862794
2000-09-04,53.3333,53.3333,51.3333,53.3333,276114
2000-09-11,52.6667,56.7667,50.6667,53.3333,633738
2000-09-18,53.2667,57,50.6667,53.8333,444174
2000-09-25,54.3333,56.3333,51.6667,54,268218
2000-10-02,51.8667,56.1667,51.7,54.3,258900
2000-10-09,53.8667,55,50.0333,50.0333,220866
2000-10-16,50.8333,55.3333,50.8333,52,254712
2000-10-23,52.6667,54.9,50.3333,53,198138
2000-10-30,54.1667,56.4667,52,55.9667,200850
2000-11-06,54.6667,63.7667,54.6667,57.2667,574755
2000-11-13,57.2667,60,54.3333,57.8333,296253
2000-11-20,57.3333,58.3333,53,54.3333,342813
2000-11-27,56,57.9667,52.3333,53.0667,529761
2000-12-04,53.3333,54.6667,51.3333,53.6667,433371
2000-12-11,54.6,55,51.9667,52,393141
2000-12-18,52.1667,53.6,48.3333,49,300099
2000-12-25,49.7,51.6333,49,50.3,36207
2001-01-01,52.7667,52.7667,44.3333,47,476283
2001-01-08,47,49.9333,46,49.3,460767
2001-01-15,49,51.6,46.7,49.8,596733
2001-01-22,50.0667,51.6667,48.5333,48.6667,147102
2001-01-29,49,52.7333,48.1667,50.4667,253860
2001-02-05,50.3333,53.3333,49.6667,49.6667,262821
2001-02-12,51.4,51.4,47.0333,50,434058
2001-02-19,50.9667,51,49.7333,50.6667,293244
2001-02-26,50.6667,50.8333,49.0667,49.8,196608
2001-03-05,50.3333,50.6667,48.0667,49,220773
2001-03-12,49.0333,49.0333,44.9333,45.1667,355647
2001-03-19,45.3333,50.6667,45.1,45.8333,793782
2001-03-26,45.8333,49,45.8333,49,453720
2001-04-02,49.3333,49.5,44.7,47,496632
2001-04-09,47,47.9667,46,47.1,304605
2001-04-16,46.9667,49.1667,45.8,48.3333,296616
2001-04-23,49,54,48.3333,53,635916
2001-04-30,53,55.2667,52.8333,53.7,307626
2001-05-07,54.3333,55.3333,53.6667,53.6667,263034
2001-05-14,54.3,55.6667,52.4333,55.6667,633972
2001-05-21,54.4333,56.1667,53.6667,55.7333,361401
2001-05-28,55.6667,56.2333,55.3333,55.6667,727539
2001-06-04,55.8333,56.6333,55.3,56.6,216687
2001-06-11,56.0333,57.9333,54.9667,54.9667,539580
2001-06-18,54.6667,54.7,51.0333,54.6,403779
2001-06-25,54.3667,54.8333,52.4,54.3333,517407
2001-07-02,54,55,52.3333,53,357240
2001-07-09,53.1333,54.5,51.7333,53.2333,380631
2001-07-16,52.8333,55,51.8,55,304635
2001-07-23,54.2667,54.9667,53.5,54,231915
2001-07-30,53.9667,56.5,53.8667,55.3333,213678
2001-08-06,55.3333,56.5,53.6667,55.7333,182262
2001-08-13,55.6,56.6667,54,56.3333,208338
2001-08-20,55.3333,56.3,54.3333,55.1,155550
2001-08-27,54.6667,56,54,54.1,641541
2001-09-03,54,55.3333,51.2,51.5,490836
2001-09-10,51.3667,52.7667,41.3333,41.3333,1315299
2001-09-17,40,47,33.3333,36.3333,1211823
2001-09-24,36.6667,46.3333,36.6667,43,651552
2001-10-01,44.1667,44.6333,40.7333,44.5333,325503
2001-10-08,44,48.1333,42,47.3333,528900
2001-10-15,47.3,48,44.6667,47.6667,298146
2001-10-22,47.0333,51.6667,46.7667,47.8333,638916
2001-10-29,47.8333,50,46.3333,48.5,283254
2001-11-05,49.3333,51.3,47.8333,49.6667,215697
2001-11-12,49.6667,55.7,47.3333,54.0333,840096
2001-11-19,54.6667,57.2667,53.8333,57.2667,363609
2001-11-26,56.3333,58.6667,54.0333,56,509505
2001-12-03,55.8667,61.5333,54.5333,59.2667,770196
2001-12-10,58.4667,59.3333,54.3333,54.3333,456747
2001-12-17,57.3333,57.3333,54.1667,54.8333,658029
2001-12-24,54.6667,57.6667,54.6667,57.6667,176103
2001-12-31,57.6667,60.3333,56.8333,60.1,229653
2002-01-07,59.3333,59.8333,57.3667,59.5,548136
2002-01-14,58.7,60.5667,57.3333,60.2333,519657
2002-01-21,60,60.2,57.3333,57.8333,559581
2002-01-28,58.3,59.1,57.1667,58.7333,291603
2002-02-04,58.5,58.5,56.1667,56.8333,505482
2002-02-11,56.1,56.6667,50.4,52.3333,975729
2002-02-18,53.3,54.4667,52.5,52.7667,403056
2002-02-25,52.6333,56.3333,52.6333,56,1023597
2002-03-04,55.4,59.2667,53.8333,59.2667,668439
2002-03-11,58.6667,58.6667,55.1333,56.8333,345810
2002-03-18,56.8333,59.2667,55,55.6667,680571
2002-03-25,55.6667,56.9333,54.7333,55.8333,557964
2002-04-01,56.6667,57,55.0333,55.6667,208791
2002-04-08,55.6667,58.1,55,57.7667,355122
2002-04-15,57.3333,57.8333,56,56.7333,297264
2002-04-22,56.0333,56.6667,54.1,56.6333,361500
2002-04-29,56,57.8,55.8333,57.3333,331170
2002-05-06,57.8,57.8333,55.6,57.1,179355
2002-05-13,57.1,58.4667,56.3333,57.6667,245385
2002-05-20,57.6667,58.6667,56.7333,58.3333,534066
2002-05-27,58.3333,59.4667,57.8667,58.3333,864324
2002-06-03,58.6667,58.6667,55.5333,57.3,288486
2002-06-10,56.7,57.9333,53.9333,54.5667,549777
2002-06-17,55.3333,55.4333,52.3333,52.7,485682
2002-06-24,53.3333,53.7667,51.1667,53.3,309369
2002-07-01,54,54,51,52,301557
2002-07-08,51.0667,53.2,48.3333,49.3333,433914
2002-07-15,50,51.9667,47.5333,51,393990
2002-07-22,49.2,51,45.6667,48.1667,506955
2002-07-29,48.8333,49.8333,46.5,46.7,418269
2002-08-05,47.6,48.1333,44.3333,45.9333,1181298
2002-08-12,46,47,44.2,45.5,506178
2002-08-19,45.8333,49,45.5,47.7333,202821
2002-08-26,48.9667,48.9667,46.6667,47.1333,1041120
2002-09-02,46.7,47.2667,43.2,45,342114
2002-09-09,45.0333,49.2667,43.2667,47,450678
2002-09-16,48,48,45.3333,47.3333,399792
2002-09-23,47.6667,47.6667,41.9,43.6667,618357
2002-09-30,43.3667,44.9,41.8333,43.3333,487350
2002-10-07,42.3667,44.7,39.6667,44.3667,807090
2002-10-14,44.3333,50,43.7,48.3667,910062
2002-10-21,47.6667,51.5,47.6667,49.0667,568713
2002-10-28,50.3333,51.5667,48,51.1667,193581
2002-11-04,50.3333,52.9667,48.4333,49.8333,529488
2002-11-11,48.9,50,46.4333,49.9333,484749
2002-11-18,49.1,50.6667,48.3333,49.0333,431271
2002-11-25,48.8333,50.6667,48,48.8,1928325
2002-12-02,48.8333,50.8333,48.3333,49,692205
2002-12-09,49,50,47.6333,47.9,188706
2002-12-16,47.9333,49.3333,44.0333,45.6667,299943
2002-12-23,45.1,46.7,44.1333,44.3333,59526
2002-12-30,44.1667,46.3333,43.6667,45.9667,134058
2003-01-06,46.9333,49,43.5667,44.6667,353781
2003-01-13,45.9,46.3333,43.4333,44.3333,442347
2003-01-20,45,45,42.5,43.3,258930
2003-01-27,42.6,44.8333,41.6667,43.4,330879
2003-02-03,43.8333,44.6667,43.0333,43.3333,274944
2003-02-10,44.2333,44.2333,41.0667,42.4333,332121
2003-02-17,42,43,41.0333,41.1,203355
2003-02-24,41,41.4667,36.7333,38.7333,1407471
2003-03-03,38.7667,39.3,36.3333,37,359922
2003-03-10,37.0667,39.1667,34.2,38.8333,495498
2003-03-17,37.1667,44,37.1667,43.1667,603900
2003-03-24,43.1667,43.1667,41.0333,41.6667,523389
2003-03-31,41.2667,41.2667,37.5,39.3333,685977
2003-04-07,40.0333,42.2,38.8333,39.3333,404640
2003-04-14,39.4,40.9667,39.3667,40.3333,163155
2003-04-21,41,41.3333,39.3667,39.4333,338067
2003-04-28,39.7,42.2333,39.3667,41.1333,496875
2003-05-05,41.9667,42.6667,40.6667,41.9667,241560
2003-05-12,41.8333,44.6667,40.3333,44.6,683241
2003-05-19,43.3333,43.6333,41.0333,41.4333,444330
2003-05-26,41.3333,44.2667,41.0667,43.8333,1426914
2003-06-02,42.7333,44.3667,41.7667,42.3667,919209
2003-06-09,42.6,43.9667,42.1667,43.2333,240657
2003-06-16,42.4,44.7333,42.4,43.6667,539283
2003-06-23,43.9667,43.9667,40.3667,42.2667,329766
2003-06-30,41.4,42.2,40.3667,41.2667,375540
2003-07-07,41.5,43.2667,41.2,41.5333,510834
2003-07-14,41.6333,43.6667,41.3667,42.1667,739878
2003-07-21,41.7333,43.3,41.0333,41.4333,378828
2003-07-28,41.7333,42.8,40.9333,42.2667,328767
2003-08-04,42,42,40,40,215244
2003-08-11,40.3333,42.2667,39.9,41.6667,453072
2003-08-18,41.4,47.1667,41.2333,46.5,518532
2003-08-25,46.5,48.3,45.8333,47.6667,1028619
2003-09-01,47.6,48.9333,47.3333,47.8333,821970
2003-09-08,47.8333,49,45.6,46.3333,1022427
2003-09-15,46.1667,46.6667,44.3333,44.9,491505
2003-09-22,44.5333,46.4667,43.4667,44.9,730017
2003-09-29,44.1667,45.7333,43.8333,45.5,427539
2003-10-06,45.5333,47.3333,45.3333,46.5,613905
2003-10-13,46.5,49.0333,46.5,48.7,592869
2003-10-20,48,49,47.3333,48.3333,508983
2003-10-27,48.0667,49.8,48,49.3667,352104
2003-11-03,49.1,53,49.1,52.2667,813951
2003-11-10,51.3667,53.1667,51.3667,52.3333,455598
2003-11-17,51.3333,52.5,50.3333,51.6667,455424
2003-11-24,51.2333,52.5,50.7333,51.4,640350
2003-12-01,51.3333,52.5,51.0333,51.6333,442941
2003-12-08,51.2,51.9667,48.5,50.1667,533361
2003-12-15,50.3333,51.5667,49.7333,51.5667,301335
2003-12-22,51.0333,51.4667,50.0333,50.3333,134910
2003-12-29,49.0333,51.3,49.0333,50.5667,78771
2004-01-05,50.5333,51.6667,49.7,51.0667,329028
2004-01-12,50.8333,54.0333,50.3,53.0667,440319
2004-01-19,53.3333,54.1667,52.9333,53.4667,244497
2004-01-26,53,53.5,50.0667,50.4,400881
2004-02-02,50.4333,51.1667,49,50.9667,362610
2004-02-09,50.3667,54,50.3667,53.5667,702996
2004-02-16,53.3333,55.3333,52.8667,55.0333,337245
2004-02-23,54.7333,55.3,53.0667,53.1,315936
2004-03-01,53.3333,55,53.1333,53.6,530532
2004-03-08,54.4333,55,51.6,52.4667,412170
2004-03-15,52.4667,53.3333,50.7667,51.7333,255960
2004-03-22,51.5667,54.2667,50.6667,53.7,747669
2004-03-29,53.2667,56.2,53.2667,55.9667,755289
2004-04-05,56.0333,58.3,55.2333,57.2667,590271
2004-04-12,57.6667,58,56.4333,57.9667,396897
2004-04-19,57.4667,58.1667,56.3333,58.1333,691572
2004-04-26,58.0667,58.2,55.1667,55.4,408360
2004-05-03,55.4,57,55.1667,56.5333,473034
2004-05-10,55.2333,56.9,54,54.6,419556
2004-05-17,54.5,55.1333,52.5,54.0667,499845
2004-05-24,54.2,54.9667,53.3333,53.6,519300
2004-05-31,53.9333,55,53.4,54.7333,254799
2004-06-07,54.7333,55.6667,52.7667,53.5,285756
2004-06-14,53.7667,53.7667,52.4333,52.8,208542
2004-06-21,53.2333,54.3333,52.6333,54.0667,669963
2004-06-28,54,55,53.3333,53.7,364914
2004-07-05,53.7333,54.6333,53.4,54.1333,258153
2004-07-12,54.3333,54.3333,52.5667,53.5667,179862
2004-07-19,53.7667,54.0333,52.3333,53.0667,232797
2004-07-26,52.2,54.1667,51.8333,53.4667,316311
2004-08-02,53.9333,54.5,50.6667,51.2,243969
2004-08-09,51.6667,53,49.3333,50.2,420201
2004-08-16,50.6667,52,50.3333,51.2333,224001
2004-08-23,51,52.7333,51,52.1667,184506
2004-08-30,52.2333,52.6,51.3333,51.8667,377436
2004-09-06,51.3333,53.3,51.3333,52.5667,178176
2004-09-13,52.0333,54.2333,52.0333,54.0667,488625
2004-09-20,52.8333,54.3333,52.3667,52.8333,283488
2004-09-27,52.0667,52.5333,50.4333,50.8667,257445
2004-10-04,51.3333,52,50.5667,51.2667,339129
2004-10-11,51.0333,51.8,50.0667,50.4333,304302
2004-10-18,50.9333,51.3333,49.4,49.6667,632424
2004-10-25,49.3333,50.9667,48.5,50.4,362424
2004-11-01,50.4,52.3,50.3,52.0333,247176
2004-11-08,49.3333,50.6667,48.6667,48.8333,681813
2004-11-15,48.6667,49,48,48.1,370521
2004-11-22,48.1,48.1,46.1,46.4,540738
2004-11-29,46.2333,47.4667,45.5333,45.7,741285
2004-12-06,45.4667,47.3,44,47.2,709563
2004-12-13,47,49.2667,47,49.1,743232
2004-12-20,48.6667,49.3,47.7,48.8667,382638
2004-12-27,48.8667,49.2333,48.4,48.9333,104139
2005-01-03,48.4333,49.5667,47.6667,47.9333,211446
2005-01-10,48,48.9667,47.0333,47.8333,350937
2005-01-17,47.7,49.1,47.6667,48.6,351837
2005-01-24,48.0333,50.6,47.8667,50,453843
2005-01-31,50.6,51.4333,49.3333,50.3333,490842
2005-02-07,50,54.1667,49.5333,54,739647
2005-02-14,54,54.9333,52.1667,54.6333,726033
2005-02-21,54.6333,54.8667,53.7,54.2,276699
2005-02-28,53.8667,54.9667,52.8333,53.3667,539391
2005-03-07,53.3333,54.5,52.6333,53.4,376467
2005-03-14,53.6667,54.0333,52.9,53.6,580413
2005-03-21,53.8,53.9333,50.5333,52.7667,403209
2005-03-28,51.7,52.8,51.6667,51.8333,422586
2005-04-04,51.7333,52.1,51.0333,51.9333,634413
2005-04-11,51.6,52.3,50.1667,50.4667,396639
2005-04-18,51.1667,51.1667,49.3,50.1333,533034
2005-04-25,50.1667,51.4667,48.5667,49.2333,376851
2005-05-02,49,50.6333,49,50.0333,302991
2005-05-09,49.9333,52.4333,48.6667,51.6667,575553
2005-05-16,51,52.6667,51,52.3333,475233
2005-05-23,52.3333,53.1667,52,52.4333,334266
2005-05-30,51.8,56.3333,51.5333,54.3333,738714
2005-06-06,54.5,55.3667,53.8333,55.3667,411501
2005-06-13,55.0333,55.6667,54.6667,54.8333,597417
2005-06-20,54.9333,55.6667,53.9667,54.7,555207
2005-06-27,54.2333,56.1,54.2,56.1,439599
2005-07-04,56,56.3333,52.3667,54.9667,472182
2005-07-11,54.6667,56.3333,54.6667,55.7333,328728
2005-07-18,56.3333,57.6667,55.3333,56.5,374925
2005-07-25,56.6667,57.7333,56.2333,56.9333,470841
2005-08-01,57.2333,57.3333,55.2667,55.3333,378204
2005-08-08,55.3333,55.5333,52.8333,53.7,769236
2005-08-15,53.8333,54.2333,52.1667,53.1,572937
2005-08-22,53.0667,54.6667,52.1,54.5667,768621
2005-08-29,54.6667,62.6667,54,58.3333,1397757
2005-09-05,58.3333,60.3333,57.7333,59.7,875100
2005-09-12,60,64.1667,58.9,63.8333,1561218
2005-09-19,63.0667,65.6667,62.5,64.3333,1040901
2005-09-26,64.6667,66.1333,63.8,65.5,688437
2005-10-03,65.5667,65.9333,62.8667,63.1,854793
2005-10-10,62.9333,63.7333,61.1333,61.1333,1086747
2005-10-17,61.7667,61.8667,59.4667,60.4333,625323
2005-10-24,60.4667,63.4667,59.7667,60.8667,457809
2005-10-31,60.8333,63.4667,60.3333,63.3333,371799
2005-11-07,62.6667,63.6,61.9,63.3333,407376
2005-11-14,63.3333,64.4,62.6667,63.7,557649
2005-11-21,63.6667,66.6333,63.6667,65.9333,1174827
2005-11-28,65.2667,66.5,64.7333,66.3,1698204
2005-12-05,66.3333,70.3667,66,67.8333,970938
2005-12-12,67.8333,69.3333,67.5667,68.1333,492339
2005-12-19,67.9333,70.6333,67.5667,69.5333,521814
2005-12-26,69.3333,71.6333,69.0333,70.4333,225738
2006-01-02,70.4333,72.4667,70.3333,71.4333,425946
2006-01-09,71.4667,72.3333,70.4,71.2333,327813
2006-01-16,70.8333,71.6667,68.5,69.6667,333948
2006-01-23,69.3667,72.5333,69.0333,72.1667,351228
2006-01-30,72.2667,72.2667,69.7333,69.9667,354885
2006-02-06,70,70.8333,68.8333,69.7,559332
2006-02-13,69.0333,69.0333,67.6,68.4667,527283
2006-02-20,68.2333,71.1667,68.2333,71.1667,445287
2006-02-27,70.7333,71.5667,69.3333,71.0333,600360
2006-03-06,71.1333,72.6,69.0333,69.6667,514320
2006-03-13,69.6667,71.9333,69.1333,71.0333,410295
2006-03-20,70.6667,72.2333,69.3667,70.5333,607008
2006-03-27,70.2,71.3,69.1667,69.5333,454695
2006-04-03,69.2667,70.3333,67.7667,69.3,660147
2006-04-10,69.2667,69.2667,66.6667,66.8667,549045
2006-04-17,67,68.1667,66.3333,67.9,995022
2006-04-24,67.6333,68.3,65.5,67.8,1433445
2006-05-01,67.5333,67.7667,66.2667,67,458430
2006-05-08,67.1,67.8333,65.0333,65.3333,717852
2006-05-15,65.2,65.2,59.4,62.0667,1141128
2006-05-22,62.6,63.9,60.3333,63.6,730431
2006-05-29,62.6333,66.3333,61.2667,65.0667,708882
2006-06-05,66,66.5333,63.5,64.7,1060704
2006-06-12,65.9,67.8,63.3,65.25,715698
2006-06-19,64.25,67.6,64.25,66.6,1313403
2006-06-26,67.4,69.55,65.85,69.15,628802
2006-07-03,69,69.2,66.4,67.15,808484
2006-07-10,66.85,67.7,64.15,64.85,297832
2006-07-17,64.3,65.85,63.3,64.55,267103
2006-07-24,63.25,66.95,63.25,66.45,480507
2006-07-31,66.2,66.2,63.2,63.45,374641
2006-08-07,63.6,64,62.1,62.15,284766
2006-08-14,62.55,66.05,61.85,65.2,318564
2006-08-21,64.95,66.25,63.7,65.6,244525
2006-08-28,65.35,67.55,64.55,67.05,390509
2006-09-04,67,67.25,65,65.3,290773
2006-09-11,65.3,68,63.8,67.9,434519
2006-09-18,68,70.75,67.15,69.7,437051
2006-09-25,69.7,74.2,69.65,72.9,667808
2006-10-02,72.95,73.25,70.95,72.65,480625
2006-10-09,72.35,76.65,72.1,75.5,491217
2006-10-16,75.1,75.85,74.2,75.25,478715
2006-10-23,75.2,81.15,75.1,79.85,1954741
2006-10-30,79.85,87.45,78.9,83.45,1541237
2006-11-06,83.35,89.3,83.35,84.7,2280449
2006-11-13,84.65,85.85,82.05,82.85,1889476
2006-11-20,82.8,85.6,82.1,82.4,952777
2006-11-27,81.6,84.15,81,82,986070
2006-12-04,82.05,87.25,82.05,86.75,1227445
